Transaction_ID,Customer_ID,Customer_Name,Segment,Country,Transaction_Date,Amount,Product_Category,Payment_Method,Fraud_Flag,Risk_Score,CPU_Processing_Time_ms,GPU_Processing_Time_ms
TXN100001,CUST1005,Enterprise Client 1005,Retail,India,2026-01-29 18:59:55,7340.37,Hardware,Bank Transfer,0,56,0.1552,0.0142
TXN100002,CUST1053,Enterprise Client 1053,MSME,India,2025-04-03 18:59:55,1246.4,Software,Bank Transfer,0,41,0.1466,0.0127
TXN100003,CUST1053,Enterprise Client 1053,MSME,India,2026-05-02 18:59:55,9990.19,Electronics,Digital Wallet,0,41,0.2071,0.0171
TXN100004,CUST1027,Enterprise Client 1027,Healthcare,Germany,2025-03-27 18:59:55,9934.37,Hardware,Digital Wallet,0,44,0.1932,0.0135
TXN100005,CUST1080,Enterprise Client 1080,Retail,India,2025-12-28 18:59:55,586.64,Electronics,Digital Wallet,0,49,0.1305,0.0087
TXN100006,CUST1090,Enterprise Client 1090,MSME,UK,2026-03-31 18:59:55,9943.82,Consulting,Bank Transfer,0,29,0.1898,0.0127
TXN100007,CUST1086,Enterprise Client 1086,MSME,USA,2026-06-27 18:59:55,7160.01,Software,Credit Card,0,36,0.2008,0.0186
TXN100008,CUST1094,Enterprise Client 1094,MSME,Germany,2025-06-14 18:59:55,2187.8,Electronics,Digital Wallet,0,55,0.2138,0.0214
TXN100009,CUST1045,Enterprise Client 1045,Finance,USA,2025-01-30 18:59:55,2384.83,Hardware,Credit Card,0,47,0.1238,0.0102
TXN100010,CUST1003,Enterprise Client 1003,MSME,UK,2026-05-07 18:59:55,14557.27,Software,Digital Wallet,0,27,0.1834,0.0162
TXN100011,CUST1050,Enterprise Client 1050,Finance,Germany,2025-05-01 18:59:55,199862.22,Software,Digital Wallet,1,82,0.1322,0.0125
TXN100012,CUST1065,Enterprise Client 1065,Finance,Singapore,2025-03-07 18:59:55,710.69,Consulting,Credit Card,0,35,0.1379,0.0093
TXN100013,CUST1006,Enterprise Client 1006,Finance,Germany,2026-04-19 18:59:55,1275.66,Software,Digital Wallet,0,11,0.205,0.0159
